Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100012,0,Northern Ireland Council For Voluntary Action,13/12/2013,Up-to-date,31 March 2019,1967518,1899451,0,0,0,"61 Duncairn Gdns, Belfast., BT15 2GB",www.nicva.org,info@nicva.org,028 9087 7777,0,"The advancement of education,The advancement of citizenship or community development","Adult training,General public,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,General charitable purposes,Research/evaluation",
100013,0,The Boys' Brigade - Ni District,13/12/2013,Up-to-date,31 March 2019,301018,253810,0,0,0,"Newport, 117 Culcavy Road, Hillsborough, County Down, BT26 6HH",www.bbni.org.uk,nihq@boys-brigade.org.uk,02892688444,0,"The advancement of education,The advancement of religion","Adult training,Children (5-13 year olds),Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Religious activities,Sport/recreation,Volunteer development,Youth development",
100015,0,North-West Community Network,06/03/2014,Up-to-date,31 March 2019,58635,57648,0,0,0,"8-14 Bishop Street, Derry~Londonderry, BT48 6PW",www.nwcn.org,info@nwcn.org,02871279090,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","General public,Voluntary and community sector","Advice/advocacy/information,Community development,Community enterprise,Cross-border/cross-community,Education/training,General charitable purposes,Human rights/equality,Urban development,Volunteer development",
100016,0,Fírinne,13/12/2013,Up-to-date,31 March 2019,254490,266174,0,0,0,"Dp1 31 Glenlevan Road, Sandhill, Derrygonnelly, Enniskillen, County Fermanagh, BT93 6ER",www.firinne.ie,bernice.swift@firinne.ie,02866324497,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Ex-offenders and prisoners,Men,Mental health,Specific areas of deprivation,Victim support,Voluntary and community sector,Women","Advice/advocacy/information,Community development,Counselling/support,Education/training,Human rights/equality,Relief of poverty",
100017,0,Groundwork Northern Ireland,13/12/2013,Up-to-date,31 March 2019,1858784,1850840,0,0,0,"Groundwork Northern Ireland, 63-75 Duncairn Gardens, Belfast, BT15 2GB",www.groundworkni.org.uk,info@groundworkni.co.uk,02890749494,0,"The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement","Children (5-13 year olds),General public,Interface communities,Men,Unemployed/low income,Youth (14-25 year olds)","Community development,Community enterprise,Cross-border/cross-community,Education/training,Environment/sustainable development/conservation,Grant making,Rural development,Urban development,Youth development",
100018,0,U3a Foyle,13/12/2013,Up-to-date,31 March 2019,195477,219272,0,0,0,"U 3 A Foyle, Pascal Mcdonald House, Gransha Park, Londonderry, BT47 6TG",www.u3afoyle.com,info@u3afoyle.com,02871860123,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Older people,Volunteers","Arts,Education/training,Sport/recreation",
100019,0,Ulidia Housing Association Limited,13/12/2013,Removed,31 March 2015,4705672,3054115,0,0,0,"Ulidia Housing Association Ltd, 20 Derryvolgie Avenue, Belfast, BT9 6FN",www.ulidiahousing.org,info@ulidiahousing.org,028 9038 2288,0,"The prevention or relief of poverty,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Homelessness,Learning disabilities,Older people,Physical disabilities,Tenants,Voluntary and community sector","Accommodation/housing,Advice/advocacy/information,Community development,General charitable purposes,Rural development,Urban development",
100022,0,Dominican @ Orana Preschool Playgroup,17/07/2014,Up-to-date,31 May 2019,65378,61356,0,0,0,"4 Warrenpoint Road, Newry, County Down, BT34 2PF",,patriciatoal@btinternet.com,028 3026 8651,0,The advancement of education,"Preschool (0-5 year olds),Unemployed/low income,Women","Education/training,Playgroup/after schools,Volunteer development",
100024,0,Clonavon Congregational Church Ballymena,10/09/2014,Up-to-date,31 December 2018,67559,57572,0,0,0,"32 Tullymore Park, Ballymena, County Antrim., BT42 2AU",www.ballymenacongregational.com,rscott801@hotmail.co.uk,028 2564 0877,0,"The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,General charitable purposes,Religious activities,Sport/recreation,Welfare/benevolent",
100025,0,The Emo Trust,25/07/2014,Up-to-date,05 April 2019,7765,6555,0,0,0,"Doctors Surgery, 75 Milecross Road, Newtownards, County Down., BT23 4SR",,emo.mx@btinternet.com,02891813700,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of health or the saving of lives","Addictions (drug/solvent/alcohol abuse),General public,Homelessness,Specific areas of deprivation","Education/training,Grant making,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Religious activities",
100026,0,Friends Of Nigeria-Rvh Save A Heart Foundation,06/03/2014,Up-to-date,31 May 2019,31104,16052,0,0,0,"2, Stockdam Glen., BT28 3YS",www.saveaheartnigeria.org.uk,,02890636544,0,The advancement of health or the saving of lives,Overseas/developing countries,"Education/training,Medical/health/sickness,Volunteer development",
100027,0,Mencap Strule Buzz Group,09/04/2014,Up-to-date,04 April 2019,2000,355,0,0,0,"Omagh Community House, 2 Drumragh Avenue, Omagh, Co Tyrone., BT78 1DP",,mencapni@mencap.org.uk,028 82259249,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Learning disabilities,Parents","Advice/advocacy/information,Counselling/support,Disability,Human rights/equality,Sport/recreation",
100028,0,Portadown Pentecostal Fellowship,14/05/2014,Removed,31 March 2020,0,0,0,0,0,"86-88 Bridge Street, Portadown., BT63 5AE",,portadownpentecostalfellowship@live.co.uk,02838331328,0,"The prevention or relief of poverty,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Carers,Children (5-13 year olds),Ethnic minorities,Ex-offenders and prisoners,General public,Homelessness,Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Unemployed/low income,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Cultural,Disability,General charitable purposes,Playgroup/after schools,Relief of poverty,Religious activities,Welfare/benevolent,Youth development",
100029,0,Vibe,06/03/2014,Up-to-date,31 March 2019,85888,58239,0,0,0,"214 Dundrum Road, Keady, Armagh., BT60 2SB",www.vibeni.com,info@vibeni.com,028 37539235,0,"The prevention or relief of poverty,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Men,Older people,Parents,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Arts,Community development,Counselling/support,Cross-border/cross-community,General charitable purposes,Religious activities,Sport/recreation,Youth development",
100030,0,Jcp Trust Limited,05/03/2014,Up-to-date,30 September 2019,260701,192653,0,0,0,"Johnston Campbell Ltd, 8 Cromac Place, Belfast., BT7 2JB",,,02890 221010,0,The advancement of religion,"Overseas/developing countries,Parents,Voluntary and community sector,Youth (14-25 year olds)","General charitable purposes,Relief of poverty,Religious activities,Sport/recreation,Welfare/benevolent",
100031,0,Handful Productions,06/03/2014,Removed,06 April 2018,23,0,0,0,0,"33 Dunfield Terrace, Londonderry, BT47 2ES",,felicitymccall@hotmail.com,07548 985696,0,"The advancement of the arts, culture, heritage or science","Addictions (drug/solvent/alcohol abuse),General public,Homelessness,Unemployed/low income","Arts,Community development,Human rights/equality",
100032,0,Ni 4X4 Response Network,08/04/2014,Up-to-date,31 December 2018,2112,2129,0,0,0,"40 Maryville Park, Bangor, County Down., BT20 3RJ",www.4x4response-ni.co.uk,info@4x4response-ni.co.uk,07802660550,0,"The advancement of health or the saving of lives,The advancement of environmental protection or improvement","General public,Older people,Voluntary and community sector,Volunteers","Community transport,General charitable purposes,Search and rescue,Volunteer development",
100033,0,Dreamscheme Northern Ireland,05/03/2014,Up-to-date,31 March 2019,156351,147354,0,0,0,"77A Saintfield Road, Belfast, BT8 7HN",www.dreamschemeni.org,stephen.mullan@dreamschemeni.org,07871 133637,0,The advancement of education,"Community safety/crime prevention,Specific areas of deprivation,Youth (14-25 year olds)","Advice/advocacy/information,Education/training,Sport/recreation,Youth development",
100034,0,Creggan Older Men's Social Club,16/04/2014,Up-to-date,31 March 2019,14131,12186,0,0,0,"139 Glenowen Park, Londonderry., BT48 0LH",,,02871 367666,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,Sport/recreation,
100036,0,Unit T,26/03/2014,Up-to-date,30 September 2018,27771,27115,0,0,0,"18C Railway Street, Newcastle, County Down., BT33 0AL",,unittgroup@gmail.com,07549787517,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Carers,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,General public,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Specific areas of deprivation,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Arts,Community development,Community enterprise,Counselling/support,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,Playgroup/after schools,Relief of poverty,Rural development,Sport/recreation",
100037,0,Serve In Solidarity Ireland,28/04/2014,Up-to-date,31 January 2019,39088,10857,0,0,0,"Clonard Monastery, Clonard Gardens, Belfast., BT13 2RL",www.serve.ie,info@serve.ie,02890232980,0,"The prevention or relief of poverty,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Children (5-13 year olds),Hiv/aids,Overseas/developing countries,Volunteers,Women,Youth (14-25 year olds)","Grant making,Human rights/equality,Overseas aid/famine relief,Volunteer development",
100038,0,North Belfast Housing Association Limited,18/03/2014,Up-to-date,31 March 2019,6385768,4929751,0,0,0,"Nb Housing, Gatelodge, 8 Flax Street, Belfast, BT14 7EQ",www.nb-housing.org,info@nb-housing.org,028 9059 2110,0,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),General public,Homelessness,Men,Older people,Physical disabilities,Tenants,Unemployed/low income,Women,Youth (14-25 year olds)","Accommodation/housing,Disability,Relief of poverty",
100039,0,Off The Cuff Community Theatre Group,20/03/2014,Up-to-date,31 March 2019,6819,3194,0,0,0,"11 Glenvale Road, Bellaghy, Magherafelt., BT45 8NQ",,michaelgscullion@outlook.com,02879386440,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Adult training,Ethnic minorities,General public,Mental health,Specific areas of deprivation,Voluntary and community sector,Volunteers","Arts,Community development,Cultural,Education/training,Rural development,Volunteer development",
100040,0,Actions Not Words,13/03/2014,Up-to-date,30 June 2018,111924,116958,0,0,0,"25 Brerton Crescent, Belfast, BT8 6QD",www.actionsnotwordskenya.com,info@actionsnotwordskenya.com,07970181011,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives","Children (5-13 year olds),Overseas/developing countries,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,General charitable purposes,Overseas aid/famine relief,Relief of poverty",
100041,0,Kids Kabin Drumaroad Ltd,08/05/2014,Up-to-date,31 August 2019,36580,47610,0,0,0,"21 Chapel Lane, Castlewellan, BT31 9PQ",,kidskabinsageone@gmail.com,02844812924,0,The advancement of education,"Parents,Preschool (0-5 year olds)","Education/training,Playgroup/after schools",
100042,0,Street Safe Ardglass Group,14/04/2014,Up-to-date,16 December 2018,0,18,0,0,0,"10 Quay Street, Ardglass, BT30 7SA",,streetsafegroup@hotmail.com,+442844841979,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Community safety/crime prevention,Ethnic minorities,General public,Older people,Voluntary and community sector,Youth (14-25 year olds)","Community development,Counselling/support,Cultural,Education/training,Environment/sustainable development/conservation,Heritage/historical,Volunteer development,Youth development",
100045,0,Belfast Butterfly Club,18/03/2014,Up-to-date,31 March 2019,575,1207,0,0,0,"98 University Street, Belfast., BT7 1HE",www.belfastbutterflyclub.co.uk,trans@belfastbutterflyclub.co.uk,07704799352,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","General public,Men,Mental health,Women","Advice/advocacy/information,Counselling/support,Education/training,Gender,Human rights/equality,Medical/health/sickness,Research/evaluation,Volunteer development",
100046,0,Tandem Walking Group Plus,18/03/2014,Up-to-date,31 March 2019,5476,5755,0,0,0,"20 Princess Way Heights, Portadown, Craigavon, BT63 5ZN",,,02838 335540,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Physical disabilities,Volunteers","Medical/health/sickness,Volunteer development",
100047,0,The Big House (Ireland),19/01/2015,Up-to-date,31 January 2019,66606,66207,0,0,0,"The Big House (Ireland), 12-14 Elmwood Avenue, Belfast, BT9 6AY",www.thebighouse.org.uk,info@thebighouse.org.uk,028 9066 4300,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,Other charitable purposes","Adult training,Children (5-13 year olds),Learning disabilities,Mental health,Parents,Physical disabilities,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Religious activities,Research/evaluation,Volunteer development,Youth development",
100048,0,Churches' Community Work Alliance (Ni),17/11/2014,Removed,31 March 2020,0,0,0,0,0,"218 York Street, Belfast., BT15 1GY",www.ccwa-ni.org.uk,eddie.mcdowell@ccwa-ni.org.uk,02890740077,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion","General public,Specific areas of deprivation,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development",
100049,0,Tar Isteach,02/04/2014,Up-to-date,31 December 2018,101658,114077,0,0,0,"244 Antrim Road, Belfast., BT15 2AR",http://tar-isteach.org,info@taristeach.org,02980754967,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Ex-offenders and prisoners,Specific areas of deprivation,Unemployed/low income,Victim support","Advice/advocacy/information,Counselling/support,Education/training,Human rights/equality,Relief of poverty,Research/evaluation,Youth development",
100050,0,Event Medical Services Northern Ireland,21/05/2014,Removed,22 September 2020,0,0,0,0,0,"Charity No Longer Operates, Charity No Longer Operates, Charity No Longer Operates, CHARITY",,,CHARITY NO LONGER OPERATES,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,Other charitable purposes","General public,Voluntary and community sector","Cross-border/cross-community,Education/training,General charitable purposes,Medical/health/sickness,Search and rescue,Volunteer development",
100051,0,Assembly Testimony Magazine,29/07/2014,Up-to-date,31 December 2018,39000,43000,0,0,0,"11 Beverley Road, Newtownards, County Down., BT23 7TW",http://www.assemblytestimony.org,at@imckee.free-online.co.uk,028 91817351,0,The advancement of religion,"General public,Men,Older people,Overseas/developing countries,Parents,Women","Advice/advocacy/information,Education/training,Religious activities",
100052,0,Harvest City Church,22/07/2014,Up-to-date,31 October 2018,50540,47829,0,0,0,"39 Derryraine Road, Collone, Armagh., BT60 1NA",www.hccarmagh.com,imccall@toucansurf.com,02837526414,0,The advancement of religion,Homelessness,Religious activities,
100053,0,The 1St Old Boys Silver Band,19/05/2014,Up-to-date,31 December 2018,13061,12649,0,0,0,"20-22 Donegal Street, Belfast, BT1 2GP",www.1stoldboys.co.uk,nigelhylands@gmail.com,07967155117,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Men,Older people,Women,Youth (14-25 year olds)","Arts,Community development,Education/training,Youth development",
100054,0,Caring About Recovery From Eating Disorders (Cared),21/05/2014,Removed,06 April 2020,0,0,0,0,0,"14 Kilbright Road, Carrowdore, Newtownards, County Down., BT22 2HQ",,caringaboutrecovery@gmail.com,07732652692,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Learning disabilities,Men,Mental health,Parents,Women,Youth (14-25 year olds)","Education/training,Medical/health/sickness,Research/evaluation",
100055,0,Termon Community Responders,18/03/2014,Up-to-date,31 March 2019,10790,10676,0,0,0,"31 Camlough Road, Carrickmore, Omagh, County Tyrone., BT79 9PS",,unaquinlivan@yahoo.co.uk,02880760013,0,The advancement of health or the saving of lives,General public,"Community development,Education/training,Medical/health/sickness,Rural development,Volunteer development",
100057,0,Project Zambia,05/09/2014,Up-to-date,31 August 2019,45967,42915,0,0,0,"17 Hopefield Avenue, Belfast, BT15 5AP",www.projectzambia.com,projectzambiamail@yahoo.ie,07791 915336,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development",Overseas/developing countries,"Community development,Education/training,Medical/health/sickness,Overseas aid/famine relief",
100058,0,Mountsandel Christian Fellowship,12/03/2014,Up-to-date,31 January 2019,120885,104283,0,0,0,"180 Mountsandel Road, Coleraine, County Londonderry., BT52 1TB",www.mountsandelchristianfellowship.org,johnmark@mountsandelchristianfellowship.org,028 70352777,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Ethnic minorities,General public,Overseas/developing countries,Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Religious activities,Welfare/benevolent,Youth development",
100059,0,North West Mountain Rescue Team,13/03/2014,Up-to-date,31 March 2019,45467,37505,0,0,0,"63 Henryville Manor, Ballyclare, BT39 9FP",www.nwmrt.org,secretary@nwmrt.org,07900 192356,0,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),Adult training,Community safety/crime prevention,Mental health,Older people,Volunteers","Education/training,Search and rescue,Volunteer development",
100060,0,Ballinascreen Early Years,21/07/2014,Removed,31 March 2017,43267,56806,0,0,0,"Ballinascreen Early Years, The Business Park, Tobermore Road, Draperstown., BT45 7AG",www.ruralchildcare,ballinascreenearlyyears@btconnect.com,02879627303,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
100061,0,Ballymoney Model Primary School Parent Teacher Association,21/07/2014,Due documents received late,31 August 2018,15226,4741,0,0,0,"17 Millgrange, Ballymoney, 17 Millgrange, BT53 7QB",,,07759198575,0,The advancement of education,Children (5-13 year olds),"Cross-border/cross-community,Education/training",
100062,0,The Glens Community Association,19/05/2014,Due documents received late,31 March 2019,85963,80457,0,0,0,"4/5 Glenlea Park, Limavady, Co Londonderry, BT49 0RR",,theglensca@live.co.uk,02877729046,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),General public,Older people,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Education/training,General charitable purposes,Relief of poverty,Volunteer development,Youth development",
100063,0,Strathfoyle Women's Activity Group Ltd,06/05/2014,Up-to-date,31 March 2019,167619,184649,0,0,0,"12 Bawnmore Place, Strathfoyle, Londonderry., BT47 6XP",,strathfoylewomenscentre@hotmail.co.uk,028 7186 0733,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Mental health,Older people,Preschool (0-5 year olds),Unemployed/low income,Women","Advice/advocacy/information,Community development,Education/training,Relief of poverty,Rural development",
100064,0,Rainbow Health Limited,02/04/2014,Due documents received late,31 March 2019,669369,648460,0,0,0,"The Belfast Business Centre, Cathedral House, 23-31 Waring Street, Belfast, BT1 2DX",www.rainbow-project.org,info@rainbow-project.org,02890319030,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Hiv/aids,Homelessness,Men,Mental health,Parents,Sexual orientation,Victim support,Volunteers,Women","Advice/advocacy/information,Counselling/support,Education/training,Gender,Human rights/equality,Medical/health/sickness,Research/evaluation,Volunteer development,Youth development",
100065,0,Cedar One Community,03/04/2014,Removed,23 December 2020,0,0,0,0,0,"53 Shore Road, Killyleagh, County Down., BT30 9UE",,,07703 581018,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Children (5-13 year olds),Older people,Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Arts,Cultural,Education/training,Environment/sustainable development/conservation,Medical/health/sickness,Sport/recreation,Youth development",
100066,0,Cullybackey Community Partnership,29/04/2014,Up-to-date,31 December 2018,64948,63859,0,0,0,"82 Maine Street, Cullybackey, Ballymena, County Antrim., BT42 1BW",,cullybackey@nacn.org,02825882281,0,"The advancement of education,The advancement of citizenship or community development,The advancement of environmental protection or improvement,Other charitable purposes","General public,Tenants","Community enterprise,Economic development,Environment/sustainable development/conservation",
